Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
52	100	0	0.760980942	-1029901.02	-697502.904	-1476789.56	672855.654	2149645.22	0	0	1.69101e+009	0	0	3
53	102	0	0.775615191	-974637.239	-744574.129	-1476789.56	577243.177	2054032.74	0	0	1.69292e+009	0	0	3
54	104	0	0.79024944	-1026654.75	-790399.784	-1476789.56	510581.14	1987370.7	0	0	1.69105e+009	0	0	3
55	107	0	0.804883688	-1016127.4	-833415.025	-1476789.56	510581.14	1987370.7	0	0	1.69344e+009	0	0	3
56	111	0	0.819517937	-1086344.18	-879041.463	-1476789.56	450118.837	1926908.4	0	0	1.69145e+009	0	0	3
57	113	0	0.834152186	-1097175.01	-923249.859	-1476789.56	344143.322	1820932.89	0	0	1.69328e+009	0	0	3
58	115	0	0.848786435	-1110188.27	-964802.19	-1476789.56	232983.457	1709773.02	0	0	1.6904e+009	0	0	3
59	117	0	0.863420684	-1110912.56	-1003199.22	-1476789.56	166564.656	1643354.22	0	0	1.69251e+009	0	0	3
60	119	0	0.878054933	-1126751.09	-1040151.1	-1476789.56	45893.172	1522682.74	0	0	1.69065e+009	0	0	3
61	121	0	0.892689182	-1149902.16	-1074316.68	-1476789.56	-81854.3512	1394935.21	0	0	1.69283e+009	0	0	3
62	122	0	0.907323431	-1142785.54	-1104629	-1476789.56	-214958.054	1261831.51	0	0	1.6902e+009	0	0	3
63	124	0	0.921957679	-1068510.11	-1129016.2	-1476789.56	-343820.615	1132968.95	0	0	1.69176e+009	0	0	3
64	126	0	0.936591928	-1016159.42	-1148225.88	-1476789.56	-467997.01	1008792.55	0	0	1.6888e+009	0	0	3
65	128	0	0.951226177	-919928.745	-1161138.21	-1476789.56	-594691.53	882098.033	0	0	1.68948e+009	0	0	3
66	130	0	0.965860426	-896638.225	-1169765.26	-1476789.56	-783667.71	693121.853	0	0	1.68772e+009	0	0	3
67	132	0	0.980494675	-906354.503	-1173270.6	-1476789.56	-896638.225	580151.339	0	0	1.68894e+009	0	0	3
68	134	0	0.995128924	-969061.054	-1174156.32	-1476789.56	-896638.225	580151.339	0	0	1.68724e+009	0	0	3
69	136	0	1.00976317	-962575.216	-1169249.15	-1476789.56	-896638.225	580151.339	104503.558	0	1.68875e+009	0	0	3
