Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
53	102	0	0.775615191	-58.5524083	-58.5598951	-58.5769742	-58.5342589	0.00585178006	0	0	0	0	0	3
54	104	0	0.79024944	-58.545024	-58.5595244	-58.5769742	-58.5342589	0.00585178006	0	0	0	0	0	3
55	107	0	0.804883688	-58.5642949	-58.5597678	-58.5769742	-58.5342589	0.00573656906	0	0	0	0	0	3
56	111	0	0.819517937	-58.5482564	-58.5594715	-58.5769742	-58.5342589	0.00549034695	0	0	0	0	0	3
57	113	0	0.834152186	-58.5728877	-58.55979	-58.5769742	-58.5342589	0.00528924882	0	0	0	0	0	3
58	115	0	0.848786435	-58.5547125	-58.5596048	-58.5769742	-58.5342589	0.00503403267	0	0	0	0	0	3
59	117	0	0.863420684	-58.5662851	-58.5597017	-58.5769742	-58.5342589	0.00491899774	0	0	0	0	0	3
60	119	0	0.878054933	-58.5536992	-58.5595244	-58.5769742	-58.5342589	0.00474536375	0	0	0	0	0	3
61	121	0	0.892689182	-58.5715218	-58.5598064	-58.5769742	-58.5342589	0.00440092554	0	0	0	0	0	3
62	122	0	0.907323431	-58.5680198	-58.5598465	-58.5769742	-58.5342589	0.00414443026	0	0	0	0	0	3
63	124	0	0.921957679	-58.560185	-58.5597135	-58.5769742	-58.5342589	0.00396287384	0	0	0	0	0	3
64	126	0	0.936591928	-58.5331656	-58.5588559	-58.5769742	-58.5331656	0.00376083131	0	0	0	0	0	3
65	128	0	0.951226177	-58.5381657	-58.5581133	-58.5769742	-58.5331656	0.00394636931	0	0	0	0	0	3
66	130	0	0.965860426	-58.5277432	-58.5570918	-58.5769742	-58.5277432	0.00496783859	0	0	0	0	0	3
67	132	0	0.980494675	-58.5463071	-58.5565944	-58.5769742	-58.5277432	0.00546524	0	0	0	0	0	3
68	134	0	0.995128924	-58.5613799	-58.5562676	-58.5769742	-58.5277432	0.00579202328	0	0	0	0	0	3
69	136	0	1.00976317	-58.5837908	-58.5567313	-58.5837908	-58.5277432	0.00579202328	0.0585837908	100	0	0	0	3
