Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
52	100	0	0.760980942	333.836492	315.410464	296.309	333.836492	21.3978914	0	0	235.162	0	0	3
53	102	0	0.775615191	334.535414	316.502647	296.820271	334.535414	22.342301	0	0	224.773	0	0	3
54	104	0	0.79024944	335.410539	317.605226	297.339089	335.410539	23.285943	0	0	239.862	0	0	3
55	107	0	0.804883688	336.34168	318.719586	298.129864	336.34168	24.2188464	0	0	230.267	0	0	3
56	111	0	0.819517937	337.381699	319.841067	298.96719	337.381699	25.1373069	0	0	237.232	0	0	3
57	113	0	0.834152186	338.372127	320.966922	299.823689	338.372127	26.0405566	0	0	226.08	0	0	3
58	115	0	0.848786435	339.529136	322.101363	300.688567	339.529136	26.9349062	0	0	236.508	0	0	3
59	117	0	0.863420684	340.559998	323.240547	301.543282	340.559998	27.8190169	0	0	235.125	0	0	3
60	119	0	0.878054933	341.824395	324.391436	302.860214	341.824395	28.6838027	0	0	234.835	0	0	3
61	121	0	0.892689182	342.863875	325.534398	304.120814	342.863875	29.5151651	0	0	234.652	0	0	3
62	122	0	0.907323431	343.808341	326.668327	305.311649	343.808341	30.3172224	0	0	230.558	0	0	3
63	124	0	0.921957679	344.48993	327.787707	306.4156	344.48993	31.0895503	0	0	232.939	0	0	3
64	126	0	0.936591928	345.174956	328.895117	307.423439	345.174956	31.8394511	0	0	231.572	0	0	3
65	128	0	0.951226177	345.87594	329.99376	308.767226	345.87594	32.5603017	0	0	239.227	0	0	3
66	130	0	0.965860426	347.073286	331.088218	309.982691	347.073286	33.262597	0	0	237.592	0	0	3
67	132	0	0.980494675	348.129745	332.178134	311.134078	348.129745	33.9492263	0	0	244.339	0	0	3
68	134	0	0.995128924	349.324807	333.269298	312.363234	349.324807	34.6246745	0	0	242.566	0	0	3
69	136	0	1.00976317	350.292903	334.353003	313.546096	350.292903	35.282623	1.71224143	0	247.276	0	0	3
